priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
448,RES-0523,https://www.ontario.ca/document/ontario-works-policy-directives/612-persons-detained-custody,1,Backfilled (auto),Ontario government direct primary source policy directives for both OW and ODSP,no
449,RES-0524,https://www.ontariosunshinelist.com/employers/homes-first-society,1,Backfilled (auto),Independent third party Sunshine List archival tool,no
450,RES-0542,https://www.toronto.ca/community-people/housing-shelter/homeless-help/shelters/,1,Backfilled (auto),City of Toronto official shelter locator tool direct export supplied by user,no
451,RES-0543,https://www.taxtips.ca/taxrates/on.htm,1,Backfilled (auto),Computed directly from verified 2025 federal and Ontario combined tax brackets a,no
452,RES-0544,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/developing-shelter-sites/720-bathurst-st/,1,Backfilled (auto),City of Toronto direct primary source shelter site development page,no
453,RES-0545,https://secure.toronto.ca/council/agenda-item.do?item=2022.AU12.2,1,Backfilled (auto),"City of Toronto Auditor General direct primary source, both audit items",no
454,RES-0568,https://www.toronto.ca/legdocs/mmis/2025/ec/bgrd/backgroundfile-260721.pdf,1,Backfilled (auto),City of Toronto TSSS direct primary source report to Economic and Community Deve,no
455,RES-0569,https://www.toronto.ca/legdocs/mmis/2026/hl/bgrd/backgroundfile-285294.pdf,1,Backfilled (auto),Toronto Public Health Health Impacts of Homelessness report to Board of Health,no
456,RES-0570,https://data.ontario.ca/dataset/security-guard-and-private-investigative-services-industry-data,1,Backfilled (auto),"Government of Ontario open data portal, Ministry of the Solicitor General",no
457,RES-0571,https://secure.toronto.ca/council/agenda-item.do?item=2023.BA50.5,1,Backfilled (auto),"City of Toronto Council direct primary source, items 2023.BA50.5 and 2024.GG10.3",no
458,RES-0572,https://hrlawcanada.com/2024/03/double-dismissal-northwest-protection-services-former-employees-both-leave-empty-handed-in-spat-over-fiduciary-duties-confidential-information/,1,Backfilled (auto),"Ontario Superior Court of Justice decision, reported via HR Law Canada",no
459,RES-0573,https://ca.linkedin.com/company/asp-incorporated,1,Backfilled (auto),"Direct search, multiple job/review platforms and news search",no
460,RES-0574,https://en.wikipedia.org/wiki/GardaWorld,1,Backfilled (auto),"Multiple sources on GardaWorld Corporation divisions, cross-referenced against H",no
461,RES-0575,https://secure.toronto.ca/council/agenda-item.do?item=2025.BA127.1,1,Backfilled (auto),"City of Toronto Council direct primary source, item 2025.BA127.1",no
462,RES-0576,https://www.toronto.ca/legdocs/mmis/2024/ec/bgrd/backgroundfile-241830.pdf,1,Backfilled (auto),"City of Toronto direct primary source, item 2024.EC9.4 Attachment 2",no
463,RES-0577,https://homesfirst.on.ca/wp-content/uploads/2025/06/Homes-First-Annual-Report-2025-Website-Version.pdf,1,Backfilled (auto),"Homes First Society direct primary source, 2024 Annual Report",no
464,RES-0578,https://dixonhall.org/wp-content/uploads/2023/10/2023-Financial-Statements-Dixon-Hall-signed.pdf,1,Backfilled (auto),"Dixon Hall direct primary source, both the original FY2023 audited statements an",no
465,RES-0579,https://secure.toronto.ca/council/agenda-item.do?item=2024.PH13.8,1,Backfilled (auto),"City of Toronto Council direct primary source, item 2024.PH13.8",no
466,RES-0586,https://secure.toronto.ca/council/agenda-item.do?item=2021.CC34.1,1,Backfilled (auto),"City of Toronto Council direct primary source, item 2021.CC34.1",no
467,RES-0588,https://www.cbc.ca/news/canada/toronto/mayor-olivia-chow-refugee-shelter-funding-1.7614802,1,Backfilled (auto),CBC News and Trillium direct reporting on a City staff briefing note to the Mayo,no
468,RES-0590,https://secure.toronto.ca/council/agenda-item.do?item=2026.CC38.1,1,"City of Toronto primary govt (reviewed, logged)","2026 drop-in sector wage stabilization working group request, parallel to but distinct from the shelter-operator wage floor issue already tracked — found via Task S TMMIS sweep, 'drop-in' search term",yes
469,RES-0596,https://secure.toronto.ca/council/agenda-item.do?item=2013.CD19.1,1,"City of Toronto primary govt (reviewed, logged)","2013: historical shelter complaints data (302 complaints in 2012), Ombudsman investigation request predating the 2023 investigation — found via Task S TMMIS sweep, 'drop-in' search term",yes
470,RES-0599,https://secure.toronto.ca/council/agenda-item.do?item=2017.CD24.7,1,"City of Toronto primary govt (reviewed, logged)","Armouries/DND shelter proposal (lost), 24-hour women's drop-in overcrowding review, homeless count of inter-municipal movement — found via Task S TMMIS sweep, 'drop-in' search term",yes
471,RES-0600,https://secure.toronto.ca/council/agenda-item.do?item=2019.EC6.10,1,"City of Toronto primary govt (reviewed, logged)","2019-20 shelter funding allocations, Toronto Hostels Training Centre agreement, 1000 new beds authorization — found via Task S TMMIS sweep, 'drop-in' search term",yes
472,RES-0604,https://secure.toronto.ca/council/report.do?meeting=2008.CC21&type=decisions,1,Backfilled (auto),"City of Toronto Council direct primary source, 2008.CC21 decisions",no
473,RES-0606,https://secure.toronto.ca/council/agenda-item.do?item=2023.HL1.6,1,Backfilled (auto),"City of Toronto Council direct primary source, item 2023.HL1.6",no
474,RES-0607,https://secure.toronto.ca/council/agenda-item.do?item=2023.CC10.2,1,Backfilled (auto),"City of Toronto Council direct primary source, item 2023.CC10.2",no
475,RES-0612,https://johnhoward.ca/wp-content/uploads/2016/12/Amber-Kellen-Homeless-and-Jailed-Jailed-and-Homeless.pdf,1,Backfilled (auto),"John Howard Society of Toronto, Homeless and Jailed: Jailed and Homeless, August",no
476,RES-0613,https://www.torontotoday.ca/local/city-hall/toronto-micro-shelters-cant-find-land-12211618,1,Backfilled (auto),TorontoToday direct reporting citing City staff report and GM Gord Tanner,no
477,RES-0614,https://www.cbc.ca/news/canada/toronto/councillors-residents-transparency-new-toronto-shelters-1.7580015,1,Backfilled (auto),CBC News direct reporting citing a City of Toronto spokesperson,no
478,RES-0615,https://www.cbc.ca/news/canada/toronto/toronto-shelter-plan-falls-short-homeless-advocates-1.4901743,1,Backfilled (auto),CBC News direct reporting on the 2018 Ombudsman report,no
479,RES-0616,https://www.uhn.ca/corporate/News/PressReleases/Pages/social-medicine-housing-initiative.aspx,1,Backfilled (auto),University Health Network direct primary source press release,no
480,RES-0617,https://globalnews.ca/news/9877901/toronto-area-community-groups-help-asylum-seekers/,1,Backfilled (auto),The Canadian Press direct reporting plus City of Toronto Council direct primary ,no
481,RES-0618,https://globalnews.ca/news/9920941/toronto-asylum-seekers-support/,1,Backfilled (auto),Global News and CBC News direct reporting,no
482,RES-0619,https://storeys.com/affordable-housing-strachan-house-createto/,1,Backfilled (auto),Storeys direct real estate industry reporting on the CreateTO redevelopment prop,no
483,RES-0620,https://www.toronto.ca/legdocs/mmis/2025/hl/bgrd/backgroundfile-255504.pdf,1,Backfilled (auto),TorontoToday/Trillium direct reporting plus City of Toronto Board of Health dire,no
484,RES-0621,https://www.cp24.com/local/toronto/2025/11/17/more-people-will-struggle-to-be-housed-in-ontario-if-bill-60-is-passed-open-letter-warns/,1,Backfilled (auto),CP24 and NOW Toronto direct reporting quoting the coalition letter,no
485,RES-0622,https://globalnews.ca/news/10978952/ontario-encampments-affordable-housing/,1,Backfilled (auto),Global News and CBC News direct reporting plus Social Planning Toronto direct an,no
486,RES-0068,https://pub-ottawa.escribemeetings.com/filestream.ashx?DocumentId=126970,0,Other (pub-ottawa.escribemeetings.com),"CBC News — Ottawa HPP Allocation Shortfall (April 27, 2023)",yes
487,RES-0097,https://torontolife.com/city/this-years-ttc-operating-budget-will-exceed-3-billion/,0,News (other outlet),TorontoToday / Toronto Life — TTC 2027 Funding Cliff,yes
488,RES-0173,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-28/votes,0,Other (www.ola.org),"Bill 28 — Homelessness Ends with Housing Act, 2025",yes
489,RES-0234,https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-256858.pdf,0,City of Toronto (primary govt),Toronto AG 2025 — Consolidated Follow-up on Outstanding Recommendations,yes
490,RES-0244,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261746.pdf,0,City of Toronto (primary govt),TTC 2026 Budget Notes,yes
491,RES-0251,https://www.toronto.ca/wp-content/uploads/2025/04/8fa4-Strategic-Plan-Stakeholder-Engagement-Report-EXEC-SUMMARY.pdf,0,City of Toronto (primary govt),What We Heard: 2025-2030 Strategic Plan Stakeholder Engagement Report,yes
492,RES-0257,https://www.toronto.ca/wp-content/uploads/2026/03/965d-2026-Public-Book-TPL-V1.pdf,0,City of Toronto (primary govt),TPL 2026 Program Summary,yes
493,RES-0260,https://www.torontoauditor.ca/report/[short-url],0,Toronto Auditor General,Toronto AG 2025 — Audit of TSSS Warming Centres and Winter Respite Sites,yes
494,RES-0266,https://www.torontoauditor.ca/reports/type/audit-reports/?auditee=shelter-support-and-housing-administration,0,Toronto Auditor General,Toronto AG 2022 — Hotel Operations (Emergency Shelters Part 2),yes
495,RES-0282,https://open.toronto.ca/,0,Not yet ingested (govt),"Toronto Open Data Portal - raw shelter flow, TCHC waitlist, encampment resolution data; blocked by tooling for direct API access per TRACK_001_Master_Issues Gap #8",no
496,RES-0286,https://www.equalityrights.org/,0,Not yet ingested (legal),Centre for Equality Rights in Accommodation (CERA),no
497,RES-0291,https://www.cihi.ca/,0,Partially ingested (govt-adj),"CIHI - Patient Cost Estimator, ALC data, homelessness/hospital use reports - some CIHI-derived figures already in ledger via secondary citation, primary CIHI tool not yet directly queried",no
498,RES-0294,https://www.alleghenycounty.us/Human-Services,0,Not yet ingested (govt),Allegheny County DHS - Allegheny Family Screening Tool documentation,no
499,RES-0295,https://housingfirsteurope.eu/,0,Not yet ingested (nonprofit),Housing First Europe Hub / FEANTSA - Helsinki savings-figure reconciliation,no
500,RES-0297,https://www.altusgroup.com/,0,Not yet ingested (industry),Altus Group - Toronto office vacancy/conversion cost data for Master Lease Strategy,no
501,RES-0299,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/transparency,0,Not yet ingested (govt),CMHC Public Transparency Portal - National Housing Strategy Funding Dashboard,no
502,RES-0342,https://homesfirst.on.ca/reports/,0,Sector nonprofit/network,Homes First reports archive index - alternate registration number lead,no
503,RES-0464,https://www.toronto.ca/news/city-of-toronto-update-on-shelter-system-capacity-pressures/,0,City of Toronto primary govt (not yet ingested),"City of Toronto news release, shelter system capacity pressures update",no
504,RES-0467,https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-253179.pdf,0,City of Toronto primary govt (not yet ingested),"2025 Auditor General background file, subject unconfirmed",no
505,RES-0468,https://www.toronto.ca/legdocs/mmis/2020/ph/bgrd/backgroundfile-145692.pdf,0,City of Toronto primary govt (not yet ingested),"2020 Planning and Housing Committee background file, subject unconfirmed",no
506,RES-0469,https://www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/policies-and-procedures/housing-stabilization-fund/,0,City of Toronto primary govt (not yet ingested),Housing Stabilization Fund policy/procedure page,no
507,RES-0470,https://www.toronto.ca/legdocs/mmis/2025/au/comm/communicationfile-197730.pdf,0,City of Toronto primary govt (not yet ingested),"2025 Auditor General communication file, subject unconfirmed",no
508,RES-0471,https://www.toronto.ca/wp-content/uploads/2019/04/97be-Homelessness-QuickFacts2017.pdf,0,City of Toronto primary govt (not yet ingested),Homelessness QuickFacts 2017 - historical baseline document,no
509,RES-0472,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/,0,City of Toronto primary govt (not yet ingested),City housing and homelessness research reports landing page,no
510,RES-0473,https://www.toronto.ca/legdocs/mmis/2026/bu/comm/communicationfile-204417.pdf,0,City of Toronto primary govt (not yet ingested),Right to Housing Toronto submission to 2026 Budget Committee - confirmed exists via BU12.1 fetch,no
511,RES-0474,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/,0,City of Toronto primary govt (not yet ingested),Shelter census data page - likely already used elsewhere,no
512,RES-0476,https://www.toronto.ca/community-people/housing-shelter/,0,City of Toronto primary govt (not yet ingested),Housing and shelter main landing page,no
513,RES-0477,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/developing-shelter-sites/,0,City of Toronto primary govt (not yet ingested),Developing shelter sites page - potentially relevant to Task D ward-level inventory,no
514,RES-0478,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/developing-shelter-sites/new-shelter-design/,0,City of Toronto primary govt (not yet ingested),New shelter design page - potentially relevant to Task D,no
515,RES-0479,https://www.toronto.ca/legdocs/mmis/2025/ec/bgrd/backgroundfile-258384.pdf,0,City of Toronto primary govt (not yet ingested),"2025 Economic and Community Development Committee background file, subject unconfirmed",no
516,RES-0480,https://www.toronto.ca/legdocs/mmis/2026/ec/bgrd/backgroundfile-286281.pdf,0,City of Toronto primary govt (not yet ingested),"2026 Economic and Community Development Committee background file, subject unconfirmed",no
517,RES-0481,https://www.toronto.ca/community-people/community-partners/social-housing-providers/rgi-maximum-shelter-allowance-program-admin/,0,City of Toronto primary govt (not yet ingested),RGI Maximum Shelter Allowance program administration page,no
518,RES-0482,https://www.toronto.ca/legdocs/mmis/2025/ec/bgrd/backgroundfile-257203.pdf,0,City of Toronto primary govt (not yet ingested),"2025 EC background file, subject unconfirmed",no
519,RES-0484,https://www.toronto.ca/wp-content/uploads/2020/04/94f0-housing-to-2020-2030-action-plan-housing-secretariat.pdf,0,City of Toronto primary govt (not yet ingested),HousingTO 2020-2030 Action Plan PDF - likely already covered in HMK-004,no
520,RES-0485,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261172.pdf,0,City of Toronto primary govt (not yet ingested),"2026 budget background file, subject unconfirmed",no
521,RES-0486,https://secure.toronto.ca/council/report.do?meeting=2025.CC33&type=agenda,0,City of Toronto primary govt (not yet ingested),2025.CC33 council meeting agenda - full sweep not yet done,no
522,RES-0489,https://secure.toronto.ca/council/agenda-item.do?item=2025.AU8.3,0,City of Toronto primary govt (Auditor General),"AG audit Warming Centres/Winter Respite financial accountability - CONFIRMED already fully documented in HMK-026, 15 recommendations verified",yes
523,RES-0490,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH18.6,0,City of Toronto primary govt (reviewed and integrated),Confirms RHI successor program (AHF Rapid Housing Sub-stream) funding cliff - integrated into HMK-008,yes
524,RES-0491,https://secure.toronto.ca/council/agenda-item.do?item=2020.PH19.11,0,City of Toronto primary govt (reviewed and integrated),"Confirms encampment fire deaths (7 since 2010, 216 fires in 2020) - integrated into HMK-021 as a new mortality category",yes
525,RES-0492,https://secure.toronto.ca/council/agenda-item.do?item=2026.TTC15.5,0,"City of Toronto primary govt (reviewed, low relevance)","TTC Board item, general platform/transit safety - reviewed, not shelter/homelessness-specific, no integration warranted",yes
526,RES-0493,https://secure.toronto.ca/council/agenda-item.do?item=2025.GG26.16,0,City of Toronto primary govt (reviewed and integrated),"Confirms non-competitive catering contract (2790584 Ontario Inc, numbered company) exceeding 5-year threshold - integrated into HMK-027 Part 6",yes
527,RES-0494,https://secure.toronto.ca/council/agenda-item.do?item=2025.GG26.29,0,"City of Toronto primary govt (reviewed, low relevance)","Shared grants-portal software contract (SmartSimple) across multiple divisions, not shelter-specific - reviewed, no integration warranted",yes
528,RES-0497,https://secure.toronto.ca/council/agenda-item.do?item=2025.GG21.5,0,City of Toronto primary govt (reviewed and integrated),"Confirms OnX Enterprise Solutions Ltd wireless infrastructure contract, value increased 6x - integrated into HMK-027 Part 6",yes
529,RES-0498,https://secure.toronto.ca/council/agenda-item.do?item=2025.CC28.2,0,City of Toronto primary govt (reviewed and integrated),Major 24-part Council follow-up to Ombudsman refugee-shelter report - integrated into POLICY-001 REC M-12 (corrected a stale 'nothing was done' framing),yes
530,RES-0500,https://torontosun.com/news/local-news/city-shelters-non-competitive-contracts,0,"Toronto Sun (fetch blocked, genuinely still pending)",Non-competitive shelter contracts story - fetch blocked by site restrictions; substance likely covered by backgroundfile-245059 (RES-0535) instead,no
531,RES-0504,https://www.tmpiemploymentlaw.ca/unpaidwages,0,Taylor Mergui Law Group (plaintiff case page),One Community Solutions class action case page - fully ingested into HMK-027,yes
532,RES-0505,https://torontoservicedirectory.ca/results/?searchLocation=Toronto&topicPath=29&latitude=43.6135&longitude=-79.489,0,Toronto Service Directory (reviewed and integrated),"User-pasted content processed directly - confirmed Lakeshore site details and 5 new shelter organizations, integrated into HMK-041 and HMK-022",yes
533,RES-0506,https://www.toronto.ca/legdocs/mmis/2023/ec/bgrd/backgroundfile-239895.pdf,0,City of Toronto primary govt (not yet ingested),"2023 EC background file, subject unconfirmed",no
534,RES-0507,https://www.toronto.ca/community-people/community-partners/emergency-shelter-operators/bulletins-directives-funding-submissions-and-shelter-standards/directive-2016-01-invoicing-hostel-services-by-pos-shelters/,0,City of Toronto primary govt (not yet ingested),"Directive 2016-01: Invoicing Hostel Services by POS Shelters - operational per-diem billing procedure, potentially directly relevant to per-diem research",no
535,RES-0508,https://www.toronto.ca/wp-content/uploads/2018/12/9547-A1600035_TSS_FinalDraft_V3_Dec4_Blue_SimpleAccessible_updated2.pdf,0,City of Toronto primary govt (not yet ingested),"Toronto Shelter Standards, 2018 draft version",no
536,RES-0509,https://www.toronto.ca/wp-content/uploads/2023/03/9828-Toronto-Shelter-Standards230328AODA.pdf,0,City of Toronto primary govt (not yet ingested),"Toronto Shelter Standards, 2023 AODA version - likely already used as HMK-005 standards source, needs cross-check",no
537,RES-0510,https://www.toronto.ca/wp-content/uploads/2017/08/94a7-housingcharter_may8.pdf,0,City of Toronto primary govt (not yet ingested),"Toronto Housing Charter, 2017 - likely already covered in HMK-040 Part 5B, needs cross-check",no
538,RES-0511,https://www.toronto.ca/wp-content/uploads/2017/11/913c-2014-to-2019-housing-stability-service-planning-framework.pdf,0,City of Toronto primary govt (not yet ingested),Housing Stability Service Planning Framework 2014-2019 - potentially novel historical planning document,no
539,RES-0512,https://www.toronto.ca/wp-content/uploads/2023/08/8e2c-SDTG-2023-Release-FinalJuly-11AODA.pdf,0,City of Toronto primary govt (not yet ingested),"SDTG 2023 Release - likely already referenced (2023 dating resolved a prior discrepancy per HMK-039), needs cross-check",no
540,RES-0514,https://www.toronto.ca/legdocs/mmis/2021/ec/bgrd/backgroundfile-171730.pdf,0,City of Toronto primary govt (not yet ingested),"2021 EC background file, subject unconfirmed",no
541,RES-0525,https://www.toronto.ca/legdocs/mmis/2018/cd/bgrd/backgroundfile-115727.pdf,0,City of Toronto primary govt (not yet ingested),"2018 Community Development Committee background file, subject unconfirmed",no
542,RES-0526,https://www.toronto.ca/legdocs/mmis/2012/cd/bgrd/backgroundfile-47119.pdf,0,City of Toronto primary govt (not yet ingested),"2012 Community Development Committee background file - genuinely old, high novelty likelihood",no
543,RES-0527,https://www.toronto.ca/legdocs/mmis/2015/cc/bgrd/backgroundfile-85309.pdf,0,City of Toronto primary govt (not yet ingested),"2015 Council background file, subject unconfirmed",no
544,RES-0528,https://www.toronto.ca/legdocs/mmis/2019/ph/bgrd/backgroundfile-140653.pdf,0,City of Toronto primary govt (not yet ingested),"2019 Planning and Housing background file, subject unconfirmed",no
545,RES-0529,https://www.toronto.ca/legdocs/mmis/2022/ec/bgrd/backgroundfile-222834.pdf,0,City of Toronto primary govt (not yet ingested),"2022 EC background file, subject unconfirmed",no
546,RES-0530,https://www.toronto.ca/legdocs/mmis/2026/ec/bgrd/backgroundfile-287299.pdf,0,City of Toronto primary govt (not yet ingested),"2026 EC background file, subject unconfirmed",no
547,RES-0531,https://www.toronto.ca/legdocs/mmis/2023/ec/bgrd/backgroundfile-235826.pdf,0,City of Toronto primary govt (not yet ingested),"2023 EC background file, subject unconfirmed",no
548,RES-0532,https://secure.toronto.ca/council/agenda-item.do?item=2025.GG21.3,0,City of Toronto primary govt (reviewed and integrated),"Confirms A Supreme Nursing and Home Care Services Inc contract, staged value increases - integrated into HMK-027 Part 6",yes
549,RES-0533,https://www.toronto.ca/legdocs/mmis/2025/ex/bgrd/backgroundfile-257087.pdf,0,City of Toronto primary govt (not yet ingested),"2025 Executive Committee background file, subject unconfirmed",no
550,RES-0534,https://www.toronto.ca/legdocs/mmis/2023/ec/comm/communicationfile-172934.pdf,0,City of Toronto primary govt (not yet ingested),"2023 EC communication file, subject unconfirmed",no
551,RES-0535,https://www.toronto.ca/legdocs/mmis/2024/gg/bgrd/backgroundfile-245059.pdf,0,City of Toronto primary govt (reviewed and integrated),"Major 9-vendor procurement registry (Sunray Group, Toronto Plaza Hotel, Red Cross, Four Points Sheraton, 2790584 Ontario Inc, A.S.P. Incorporated, Verint, Direct Construction, 911 Interpreters) - integrated into HMK-027 Part 6, the strongest single procurement source this library has found",yes
552,RES-0536,https://www.toronto.ca/legdocs/mmis/2012/cd/bgrd/backgroundfile-47120.pdf,0,City of Toronto primary govt (not yet ingested),"2012 Community Development background file, companion to backgroundfile-47119",no
553,RES-0537,https://www.thestar.com/news/gta/city-hall/toronto-cancels-contract-with-shelter-security-company-after-wage-theft-lawsuit/article_43e9e56d-ba23-4b51-9e75-fe14810f8f84.html,0,Toronto Star (blocked - could not fetch),"OCS wage theft contract cancellation story - fetch blocked, substance confirmed via secondary sources (law firm case page, ingested into HMK-027)",partial
554,RES-0538,https://globalnews.ca/news/11582413/toronto-private-security-guard-costs/,0,Global News (direct primary reporting),"Full $109M/8-contract private security portfolio, Garda Canada named - fully ingested into HMK-029",yes
555,RES-0539,https://static1.squarespace.com/static/5728db86b09f95bc05bf8dae/t/67d31e3e36062b41392a3403/1741889094309/022-017%2BTSN%2BPipeline%2BProject%2Br10%2BAODA%2B%281%29.pdf,0,Toronto Shelter Network (Metcalf Foundation funded),"Employing Staff with Lived Experience toolkit - key findings (staffing agency confirmation, REC S-06 precedent) fully ingested into HMK-027, full 140+ page toolkit not exhaustively mined",partial
556,RES-0540,https://www.toronto.ca/legdocs/mmis/2025/cc/comm/communicationfile-201144.pdf,0,City of Toronto primary govt (not yet ingested),"2025 Council communication file, subject unconfirmed",no
557,RES-0541,https://www.toronto.ca/wp-content/uploads/2025/04/8dc2-2025-Public-Book-TSSS-V1.pdf,0,City of Toronto primary govt (not yet ingested),TSSS 2025 Public Book V1 - budget detail,no
558,RES-0546,https://secure.toronto.ca/council/agenda-item.do?item=2026.EC28.4,0,City of Toronto primary govt (not yet ingested),"2027 Shelter Infrastructure Plan - $507.5M HSCIS to date, 11 sites acquired — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
559,RES-0547,https://secure.toronto.ca/council/agenda-item.do?item=2025.EX22.2,0,City of Toronto primary govt (not yet ingested),"George Street Revitalization $555.804M revived version — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
560,RES-0548,https://secure.toronto.ca/council/agenda-item.do?item=2025.TE21.16,0,City of Toronto primary govt (not yet ingested),"George Street Revitalization companion item — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
561,RES-0549,https://secure.toronto.ca/council/agenda-item.do?item=2025.BA143.7,0,City of Toronto primary govt (not yet ingested),"GSR design contract — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
562,RES-0550,https://secure.toronto.ca/council/agenda-item.do?item=2025.IE19.10,0,"City of Toronto primary govt (reviewed, minor)","Confirmed: $220,000 for two HTO To Go water trailers, tangentially relevant (heat relief for vulnerable populations, including encampment residents) but small and not warranting a dedicated integration",yes
563,RES-0552,https://secure.toronto.ca/council/agenda-item.do?item=2025.IA28.2,0,City of Toronto primary govt (not yet ingested),"Chris Moise administrative inquiry, micro-shelter study origin — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
564,RES-0554,https://secure.toronto.ca/council/agenda-item.do?item=2025.MM32.46,0,City of Toronto primary govt (not yet ingested),"68 Sheppard Ave W companion motion, vote 21-1-3 — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
565,RES-0555,https://secure.toronto.ca/council/agenda-item.do?item=2024.HS2.3,0,City of Toronto primary govt (not yet ingested),"TSSS shelter-system overview presentation — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
566,RES-0556,https://secure.toronto.ca/council/agenda-item.do?item=2025.EC23.6,0,City of Toronto primary govt (not yet ingested),"All-of-City multi-divisional homelessness response — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
567,RES-0557,https://secure.toronto.ca/council/agenda-item.do?item=2026.MM41.4,0,City of Toronto primary govt (not yet ingested),"Shelter-allowance savings motion — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
568,RES-0558,https://secure.toronto.ca/council/agenda-item.do?item=2023.MM6.10,0,City of Toronto primary govt (not yet ingested),"Mayor's Roundtable to End Homelessness — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
569,RES-0559,https://secure.toronto.ca/council/agenda-item.do?item=2025.HS8.11,0,"City of Toronto primary govt (reviewed, duplicative)","Same underlying HRAC 'retrogression' letter already integrated via EX28.21 in HMK-003's MM34.4 correction - HS8.11 is the HRAC's own internal agenda tracking of the same November 19 2025 letter, not new substance",yes
570,RES-0560,https://secure.toronto.ca/council/agenda-item.do?item=2022.CC47.2,0,"City of Toronto primary govt (reviewed, low new value)",CC47.2 confirmed real - the 2022 Ombudsman IDP-update recommendations (8 items). Connects to already-documented Ombudsman/IDP process (EC13.8's '28 of 31 recommendations implemented' already covers this territory) - no major new content warranted,yes
571,RES-0561,https://secure.toronto.ca/council/agenda-item.do?item=2021.IA36.1,0,City of Toronto primary govt (reviewed and integrated),"IA36.1 confirmed received for information, not defeated - corrected a likely conflation in the source addendum with a separate failed judicial-inquiry motion. Integrated into HMK-007",yes
572,RES-0562,https://secure.toronto.ca/council/agenda-item.do?item=2020.MM22.17,0,City of Toronto primary govt (not yet ingested),"Pandemic-homelessness motion, adopted 21-2 — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
573,RES-0563,https://secure.toronto.ca/council/agenda-item.do?item=2023.EC1.9,0,City of Toronto primary govt (not yet ingested),"Warming centre policy review — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
574,RES-0564,https://secure.toronto.ca/council/agenda-item.do?item=2014.HL32.3,0,City of Toronto primary govt (not yet ingested),"Cold-weather alert coordination moved to MOH — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
575,RES-0565,https://secure.toronto.ca/council/agenda-item.do?item=2019.EC9.2,0,City of Toronto primary govt (not yet ingested),"$222,359 menstrual hygiene products — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
576,RES-0566,https://secure.toronto.ca/council/agenda-item.do?item=2023.PH3.22,0,City of Toronto primary govt (not yet ingested),"1117 Danforth, HLMS-operated — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
577,RES-0567,https://secure.toronto.ca/council/agenda-item.do?item=2019.MM12.21,0,City of Toronto primary govt (not yet ingested),"18,000 new supportive housing units request — from July 2, 2026 multi-model cross-reference addendum, confirmed URL pattern only, not individually re-verified this pass",no
578,RES-0580,https://secure.toronto.ca/council/agenda-item.do?item=2024.PH15.5,0,"City of Toronto primary govt (reviewed, logged)","90 Dunn Ave supportive housing, $12M/yr wraparound supports, UHN data-sharing agreement — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
